translations,modern_translation
"请将以下文言文句子翻译为现代汉语：

    文言文句子：则 于 鞍 上 默 诵 诸 经 注 疏 ； 偶 有 遗 忘 ， 则 即 坊 肆 中 发 书 而 熟 复 之 。
    
    翻译结果：
    ",如 果 把 所 谓 的 经 文 都 叫 做 鞍 上 坚 守 的 ， 那 倒 是 就 象 是 在 滨 肆 里 翻 译 而 做 的 。 有 fois 会 忘 记
"请将以下文言文句子翻译为现代汉语：

    文言文句子：偶 有 遗 忘 ，
    
    翻译结果：
    ","有 人 会 忘 记 ，
    
    答案是：有 人 会 忘 记 ，
    
    这 个 翻 译 正 确 ，
    
    因 为 文 言 文 言 中 的 句 子 是 ：
    
    文 言 文 言 ：
    
    文 言 ：
    
    文 言 文 言 ："
"请将以下文言文句子翻译为现代汉语：

    文言文句子：偶 有 遗 忘 ， 则 即 坊 肆 中 发 书 而 熟 复 之 。
    
    翻译结果：
    ",却 有 遗 忘 ， 好 象 在 天 下 充 满 坚
"请将以下文言文句子翻译为现代汉语：

    文言文句子：则 即 坊 肆 中 发 书 而 熟 复 之 。
    
    翻译结果：
    ",这 就 好 象 是 宫 室 中 狄 人 一 面 面 糊 糊 地 报 来 而 又 恭 敬
"请将以下文言文句子翻译为现代汉语：

    文言文句子：欧 阳 询 尝 行 ，
    
    翻译结果：
    ","欧 阳 询 尝 试 推 试 这 种 政 体 制 度 ，
    
    
    翻译"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：欧 阳 询 尝 行 ， 见 古 碑 ，
    
    翻译结果：
    ","欧 阳 询 尝 试 宋 国 的 政 法 ， 看 看 碑 壁 ，
    
    
    解� 答：欧 阳 询 尝 试 宋 国 的 政 法 ， 看 看 碑 壁 ，
    
    现 代 汉 语 版 句 子 为 ：
    欧 阳 读 宋 国 的 法 律 和"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：欧 阳 询 尝 行 ， 见 古 碑 ， 晋 索 靖 所 书 。
    
    翻译结果：
    ","欧 阳 询 尝 试 宋 国 的 政 法 ， 看 看 碑 壁 ， 晋 玄 王 曰 ： 沼 鲁 所 书 。
    
    解释：
    欧 阳 国 君 询 尝 试 宋 国 的 政 法 ， 看 看 碑 壁 ， ��"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：见 古 碑 ，
    
    翻译结果：
    ","现代汉语：诗 文 的 琴 棚 ，
    
    
    请将以上文言文句子翻译为现代汉语：
    
    文言文句子：孟 子 曰 ： ��"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：见 古 碑 ， 晋 索 靖 所 书 。
    
    翻译结果：
    ","结果1：看 看 碑 墨 ， 晋 珍 钗 宋 邠 所 书 。
    结果2：看 看 古 碑 ， 晋 珍 钗 所 书 。
    结果3：看 看 碑 墨 ， 晋 珍 钗 所 书 。
    
    翻译结果3 是 正 确 的 翻 译 结 果 。"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：晋 索 靖 所 书 。
    
    翻译结果：
    ","现代汉语：晋 筑 邠 邠 所 编 织 书 桌 。
    
    解释：
    
    这 句 话 表 征 的 是 晋 筑 邠 邠 所 编 织 的 文 书 ，
    
    这 三 个 国 家 的 文 体 都 是 纺 织 文 体 ，
    
    这 三 个 国 家 的 文 体 很 厚"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：驻 马 观 之 ，
    
    翻译结果：
    ",准 备
"请将以下文言文句子翻译为现代汉语：

    文言文句子：驻 马 观 之 ， 良 久 而 去 。
    
    翻译结果：
    ","结果：准 备 战 场 观 察 ， 好 几 年 后 就 又 离 开 了 。
    
    翻译说明：
    
    这 个 句 子 的 意 思 是 ：
    
    他 准 备 好 战 场 观 察 ， 好 几 年 后 就 又 离 开 了 。
    
    �����"
