content,translation
孟 子 曰 ：,孟 子 说 ：
孟 子 曰 ： 梁 惠 王 也 ！,孟 子 说 ： 梁 惠 王 ！
梁 惠 王 也 ！,梁 惠 王 ！
仁 者 以 其 所 爱 及 其 所 不 爱 ，,仁 爱 的 人 把 所 喜 爱 的 推 及 到 所 不 喜 爱 的 ，
仁 者 以 其 所 爱 及 其 所 不 爱 ， 不 仁 者 以 其 所 不 爱 及 其 所 爱 。,仁 爱 的 人 把 所 喜 爱 的 推 及 到 所 不 喜 爱 的 ， 不 仁 爱 的 人 把 所 不 喜 爱 的 推 及 到 所 喜 爱 的 上 面 。
不 仁 者 以 其 所 不 爱 及 其 所 爱 。,不 仁 爱 的 人 把 所 不 喜 爱 的 推 及 到 所 喜 爱 的 上 面 。
公 孙 丑 曰 ：,公 孙 丑 说 ：
公 孙 丑 曰 ： 何 谓 也 ？,公 孙 丑 说 ： 这 是 什 么 意 思 呢 ？
何 谓 也 ？,这 是 什 么 意 思 呢 ？
梁 惠 王 以 土 地 之 故 ，,梁 惠 王 为 了 扩 张 土 地 的 缘 故 ，
梁 惠 王 以 土 地 之 故 ， 糜 烂 其 民 而 战 之 ，,梁 惠 王 为 了 扩 张 土 地 的 缘 故 ， 不 惜 让 自 己 的 人 民 粉 身 碎 骨 上 战 场 ，
梁 惠 王 以 土 地 之 故 ， 糜 烂 其 民 而 战 之 ， 大 败 ，,梁 惠 王 为 了 扩 张 土 地 的 缘 故 ， 不 惜 让 自 己 的 人 民 粉 身 碎 骨 上 战 场 ， 打 了 败 仗 ，
糜 烂 其 民 而 战 之 ，,不 惜 让 自 己 的 人 民 粉 身 碎 骨 上 战 场 ，
糜 烂 其 民 而 战 之 ， 大 败 ，,不 惜 让 自 己 的 人 民 粉 身 碎 骨 上 战 场 ， 打 了 败 仗 ，
糜 烂 其 民 而 战 之 ， 大 败 ， 将 复 之 ，,不 惜 让 自 己 的 人 民 粉 身 碎 骨 上 战 场 ， 打 了 败 仗 ， 又 准 备 再 战 ，
大 败 ，,打 了 败 仗 ，
大 败 ， 将 复 之 ，,打 了 败 仗 ， 又 准 备 再 战 ，
大 败 ， 将 复 之 ， 故 驱 其 所 爱 子 弟 以 殉 之 ，,打 了 败 仗 ， 又 准 备 再 战 ， 因 此 驱 使 自 己 所 喜 爱 的 子 弟 去 献 身 ，
将 复 之 ，,又 准 备 再 战 ，
将 复 之 ， 故 驱 其 所 爱 子 弟 以 殉 之 ，,又 准 备 再 战 ， 因 此 驱 使 自 己 所 喜 爱 的 子 弟 去 献 身 ，
将 复 之 ， 故 驱 其 所 爱 子 弟 以 殉 之 ， 是 之 谓 以 其 所 不 爱 及 其 所 爱 也 。,又 准 备 再 战 ， 因 此 驱 使 自 己 所 喜 爱 的 子 弟 去 献 身 ， 这 就 称 之 为 把 所 不 喜 爱 的 推 及 到 所 喜 爱 的 上 面 。
故 驱 其 所 爱 子 弟 以 殉 之 ，,因 此 驱 使 自 己 所 喜 爱 的 子 弟 去 献 身 ，
故 驱 其 所 爱 子 弟 以 殉 之 ， 是 之 谓 以 其 所 不 爱 及 其 所 爱 也 。,因 此 驱 使 自 己 所 喜 爱 的 子 弟 去 献 身 ， 这 就 称 之 为 把 所 不 喜 爱 的 推 及 到 所 喜 爱 的 上 面 。
是 之 谓 以 其 所 不 爱 及 其 所 爱 也 。,这 就 称 之 为 把 所 不 喜 爱 的 推 及 到 所 喜 爱 的 上 面 。
孟 子 曰 ：,孟 子 说 ：
孟 子 曰 ： 春 秋 无 义 战 。,孟 子 说 ： 春 秋 时 期 没 有 最 佳 行 为 方 式 的 战 争 。
春 秋 无 义 战 。,春 秋 时 期 没 有 最 佳 行 为 方 式 的 战 争 。
彼 善 于 此 ，,但 某 个 君 主 善 于 选 择 最 佳 行 为 方 式 ，
彼 善 于 此 ， 则 有 之 矣 。,但 某 个 君 主 善 于 选 择 最 佳 行 为 方 式 ， 是 有 的 。
则 有 之 矣 。,是 有 的 。
征 者 上 伐 下 也 ，,是 上 级 征 伐 下 级 ，
征 者 上 伐 下 也 ， 敌 国 不 相 征 也 。,是 上 级 征 伐 下 级 ， 相 对 的 诸 侯 国 是 不 能 相 互 征 伐 的 。
敌 国 不 相 征 也 。,相 对 的 诸 侯 国 是 不 能 相 互 征 伐 的 。
孟 子 曰 ：,孟 子 说 ：
孟 子 曰 ： 尽 信 书 ，,孟 子 说 ： 一 昧 地 相 信 《 书 》 ，
孟 子 曰 ： 尽 信 书 ， 则 不 如 无 书 。,孟 子 说 ： 一 昧 地 相 信 《 书 》 ， 还 不 如 没 有 《 书 》 。
尽 信 书 ，,一 昧 地 相 信 《 书 》 ，
尽 信 书 ， 则 不 如 无 书 。,一 昧 地 相 信 《 书 》 ， 还 不 如 没 有 《 书 》 。
则 不 如 无 书 。,还 不 如 没 有 《 书 》 。
吾 于 武 成 ，,我 对 于 《 武 成 》 这 篇 文 章 ，
吾 于 武 成 ， 取 二 三 策 而 已 矣 。,我 对 于 《 武 成 》 这 篇 文 章 ， 只 不 过 取 其 中 的 二 三 个 道 理 罢 了 。
取 二 三 策 而 已 矣 。,只 不 过 取 其 中 的 二 三 个 道 理 罢 了 。
仁 人 无 敌 于 天 下 。,能 爱 民 的 人 无 敌 于 天 下 ，
以 至 仁 伐 至 不 仁 ，,以 最 爱 民 的 政 策 征 伐 最 不 爱 民 的 ，
以 至 仁 伐 至 不 仁 ， 而 何 其 血 之 流 杵 也 ？,以 最 爱 民 的 政 策 征 伐 最 不 爱 民 的 ， 怎 么 会 血 流 成 河 把 舂 米 的 木 棒 都 漂 起 来 呢 ？
而 何 其 血 之 流 杵 也 ？,怎 么 会 血 流 成 河 把 舂 米 的 木 棒 都 漂 起 来 呢 ？
孟 子 曰 ：,孟 子 说 ：
孟 子 曰 ： 有 人 曰 ：,孟 子 说 ： 有 人 说 ：
孟 子 曰 ： 有 人 曰 ： 我 善 为 陈 ，,孟 子 说 ： 有 人 说 ： 我 善 于 陈 兵 ，
有 人 曰 ：,有 人 说 ：
有 人 曰 ： 我 善 为 陈 ，,有 人 说 ： 我 善 于 陈 兵 ，
有 人 曰 ： 我 善 为 陈 ， 我 善 为 战 。,有 人 说 ： 我 善 于 陈 兵 ， 我 善 于 作 战 。
我 善 为 陈 ，,我 善 于 陈 兵 ，
我 善 为 陈 ， 我 善 为 战 。,我 善 于 陈 兵 ， 我 善 于 作 战 。
我 善 为 战 。,我 善 于 作 战 。
大 罪 也 。,这 都 是 大 犯 罪 。
国 君 好 仁 ，,一 个 国 家 的 君 主 喜 好 爱 民 ，
国 君 好 仁 ， 天 下 无 敌 焉 。,一 个 国 家 的 君 主 喜 好 爱 民 ， 天 下 就 没 有 敌 人 了 。
天 下 无 敌 焉 。,天 下 就 没 有 敌 人 了 。
南 面 而 征 北 狄 怨 ，,向 南 征 而 北 边 的 狄 族 埋 怨 他 ，
南 面 而 征 北 狄 怨 ， 东 面 而 征 西 夷 怨 。,向 南 征 而 北 边 的 狄 族 埋 怨 他 ， 向 东 征 而 西 边 的 夷 族 埋 怨 他 ，
东 面 而 征 西 夷 怨 。,向 东 征 而 西 边 的 夷 族 埋 怨 他 ，
曰 ：,人 民 都 说 ：
曰 ： 奚 为 后 我 ？,人 民 都 说 ： 为 什 么 后 面 才 到 我 们 呢 ？
奚 为 后 我 ？,为 什 么 后 面 才 到 我 们 呢 ？
武 王 之 伐 殷 也 ，,周 武 王 征 伐 殷 商 ，
武 王 之 伐 殷 也 ， 革 车 三 百 两 ，,周 武 王 征 伐 殷 商 ， 只 出 动 兵 车 三 百 辆 ，
武 王 之 伐 殷 也 ， 革 车 三 百 两 ， 虎 贲 三 千 人 。,周 武 王 征 伐 殷 商 ， 只 出 动 兵 车 三 百 辆 ， 勇 士 三 千 人 。
革 车 三 百 两 ，,只 出 动 兵 车 三 百 辆 ，
革 车 三 百 两 ， 虎 贲 三 千 人 。,只 出 动 兵 车 三 百 辆 ， 勇 士 三 千 人 。
虎 贲 三 千 人 。,勇 士 三 千 人 。
王 曰 ：,周 武 王 说 ：
王 曰 ： 无 畏 ！,周 武 王 说 ： 不 用 害 怕 ，
无 畏 ！,不 用 害 怕 ，
宁 尔 也 ，,我 是 来 安 定 你 们 的 ，
宁 尔 也 ， 非 敌 百 姓 也 。,我 是 来 安 定 你 们 的 ， 不 是 与 老 百 姓 为 敌 的 。
非 敌 百 姓 也 。,不 是 与 老 百 姓 为 敌 的 。
若 崩 厥 角 稽 首 。,百 姓 象 山 倒 塌 一 样 叩 头 行 礼 。
征 之 为 言 正 也 ，,征 的 意 思 就 是 正 ，
征 之 为 言 正 也 ， 各 欲 正 己 也 ，,征 的 意 思 就 是 正 ， 都 想 匡 正 自 己 的 国 家 ，
征 之 为 言 正 也 ， 各 欲 正 己 也 ， 焉 用 战 ？,征 的 意 思 就 是 正 ， 都 想 匡 正 自 己 的 国 家 ， 何 必 用 战 争 呢 ？
各 欲 正 己 也 ，,都 想 匡 正 自 己 的 国 家 ，
各 欲 正 己 也 ， 焉 用 战 ？,都 想 匡 正 自 己 的 国 家 ， 何 必 用 战 争 呢 ？
焉 用 战 ？,何 必 用 战 争 呢 ？
孟 子 曰 ：,孟 子 说 ：
孟 子 曰 ： 梓 匠 轮 舆 ，,孟 子 说 ： 制 造 车 轮 、
孟 子 曰 ： 梓 匠 轮 舆 ， 能 与 人 规 矩 ，,孟 子 说 ： 制 造 车 轮 、 车 厢 的 工 匠 能 告 诉 人 规 矩 ，
梓 匠 轮 舆 ，,制 造 车 轮 、
梓 匠 轮 舆 ， 能 与 人 规 矩 ，,制 造 车 轮 、 车 厢 的 工 匠 能 告 诉 人 规 矩 ，
梓 匠 轮 舆 ， 能 与 人 规 矩 ， 不 能 使 人 巧 。,制 造 车 轮 、 车 厢 的 工 匠 能 告 诉 人 规 矩 ， 却 不 能 使 人 变 得 巧 妙 。
能 与 人 规 矩 ，,车 厢 的 工 匠 能 告 诉 人 规 矩 ，
能 与 人 规 矩 ， 不 能 使 人 巧 。,车 厢 的 工 匠 能 告 诉 人 规 矩 ， 却 不 能 使 人 变 得 巧 妙 。
不 能 使 人 巧 。,却 不 能 使 人 变 得 巧 妙 。
孟 子 曰 ：,孟 子 说 ：
孟 子 曰 ： 舜 之 饭 糗 茹 草 也 ，,孟 子 说 ： 舜 啃 干 粮 吃 野 草 的 时 候 ，
孟 子 曰 ： 舜 之 饭 糗 茹 草 也 ， 若 将 终 身 焉 ；,孟 子 说 ： 舜 啃 干 粮 吃 野 草 的 时 候 ， 好 象 要 这 样 过 一 辈 子 ；
舜 之 饭 糗 茹 草 也 ，,舜 啃 干 粮 吃 野 草 的 时 候 ，
舜 之 饭 糗 茹 草 也 ， 若 将 终 身 焉 ；,舜 啃 干 粮 吃 野 草 的 时 候 ， 好 象 要 这 样 过 一 辈 子 ；
若 将 终 身 焉 ；,好 象 要 这 样 过 一 辈 子 ；
及 其 为 天 子 也 ，,等 到 他 成 为 天 子 ，
及 其 为 天 子 也 ， 被 袗 衣 ，,等 到 他 成 为 天 子 ， 穿 华 贵 的 衣 服 ，
及 其 为 天 子 也 ， 被 袗 衣 ， 鼓 琴 ，,等 到 他 成 为 天 子 ， 穿 华 贵 的 衣 服 ， 弹 着 琴 ，
被 袗 衣 ，,穿 华 贵 的 衣 服 ，
被 袗 衣 ， 鼓 琴 ，,穿 华 贵 的 衣 服 ， 弹 着 琴 ，
被 袗 衣 ， 鼓 琴 ， 二 女 果 ，,穿 华 贵 的 衣 服 ， 弹 着 琴 ， 有 尧 的 两 个 女 儿 如 对 贵 宾 一 样 侍 候 他 ，
鼓 琴 ，,弹 着 琴 ，
鼓 琴 ， 二 女 果 ，,弹 着 琴 ， 有 尧 的 两 个 女 儿 如 对 贵 宾 一 样 侍 候 他 ，
鼓 琴 ， 二 女 果 ， 若 固 有 之 。,弹 着 琴 ， 有 尧 的 两 个 女 儿 如 对 贵 宾 一 样 侍 候 他 ， 又 好 象 这 是 本 来 就 有 的 一 样 。
二 女 果 ，,有 尧 的 两 个 女 儿 如 对 贵 宾 一 样 侍 候 他 ，
二 女 果 ， 若 固 有 之 。,有 尧 的 两 个 女 儿 如 对 贵 宾 一 样 侍 候 他 ， 又 好 象 这 是 本 来 就 有 的 一 样 。
若 固 有 之 。,又 好 象 这 是 本 来 就 有 的 一 样 。
滕 文 公 问 曰 ：,滕 文 公 问 道 ：
滕 文 公 问 曰 ： 滕 ，,滕 文 公 问 道 ： 滕 国 是 个 小 国 ，
滕 文 公 问 曰 ： 滕 ， 竭 力 以 事 大 国 ，,滕 文 公 问 道 ： 滕 国 是 个 小 国 ， 竭 力 去 侍 奉 大 国 ，
滕 ，,滕 国 是 个 小 国 ，
滕 ， 竭 力 以 事 大 国 ，,滕 国 是 个 小 国 ， 竭 力 去 侍 奉 大 国 ，
滕 ， 竭 力 以 事 大 国 ， 则 不 得 免 焉 。,滕 国 是 个 小 国 ， 竭 力 去 侍 奉 大 国 ， 却 不 能 免 除 威 胁 ，
竭 力 以 事 大 国 ，,竭 力 去 侍 奉 大 国 ，
竭 力 以 事 大 国 ， 则 不 得 免 焉 。,竭 力 去 侍 奉 大 国 ， 却 不 能 免 除 威 胁 ，
则 不 得 免 焉 。,却 不 能 免 除 威 胁 ，
如 之 何 则 可 ？,怎 么 办 才 好 呢 ？
孟 子 对 曰 ：,孟 子 回 答 道 ：
孟 子 对 曰 ： 昔 者 大 王 居 邠 ，,孟 子 回 答 道 ： 周 太 王 居 住 在 邠 地 ，
孟 子 对 曰 ： 昔 者 大 王 居 邠 ， 狄 人 侵 之 。,孟 子 回 答 道 ： 周 太 王 居 住 在 邠 地 ， 狄 人 侵 犯 那 里 。
昔 者 大 王 居 邠 ，,周 太 王 居 住 在 邠 地 ，
昔 者 大 王 居 邠 ， 狄 人 侵 之 。,周 太 王 居 住 在 邠 地 ， 狄 人 侵 犯 那 里 。
狄 人 侵 之 。,狄 人 侵 犯 那 里 。
事 之 以 皮 币 ，,拿 皮 裘 丝 绸 送 给 狄 人 ，
事 之 以 皮 币 ， 不 得 免 焉 ；,拿 皮 裘 丝 绸 送 给 狄 人 ， 不 能 免 遭 侵 犯 ；
不 得 免 焉 ；,不 能 免 遭 侵 犯 ；
事 之 以 犬 马 ，,拿 好 狗 良 马 送 给 狄 人 ，
事 之 以 犬 马 ， 不 得 免 焉 ；,拿 好 狗 良 马 送 给 狄 人 ， 不 能 免 遭 侵 犯 ；
不 得 免 焉 ；,不 能 免 遭 侵 犯 ；
事 之 以 珠 玉 ，,拿 珠 宝 玉 器 送 给 狄 人 ，
事 之 以 珠 玉 ， 不 得 免 焉 。,拿 珠 宝 玉 器 送 给 狄 人 ， 还 是 不 能 免 遭 侵 犯 。
不 得 免 焉 。,还 是 不 能 免 遭 侵 犯 。
乃 属 其 耆 老 而 告 之 曰 ：,于 是 召 集 邠 地 的 父 老 ， 对 他 们 说 ：
乃 属 其 耆 老 而 告 之 曰 ： 吾 土 地 也 。,于 是 召 集 邠 地 的 父 老 ， 对 他 们 说 ： 狄 人 想 要 的 是 我 们 的 土 地 。
吾 土 地 也 。,狄 人 想 要 的 是 我 们 的 土 地 。
吾 闻 之 也 ：,我 听 说 过 这 样 一 句 话 ：
吾 闻 之 也 ： 君 子 不 以 其 所 以 养 人 者 害 人 。,我 听 说 过 这 样 一 句 话 ： 君 子 不 拿 用 来 养 活 人 的 东 西 害 人 。
君 子 不 以 其 所 以 养 人 者 害 人 。,君 子 不 拿 用 来 养 活 人 的 东 西 害 人 。
二 三 子 何 患 乎 无 君 ？,你 们 何 必 担 心 没 有 君 主 ？
我 将 去 之 。,我 要 离 开 这 里 了 。
去 邠 ，,于 是 离 开 邠 地 ，
去 邠 ， 逾 梁 山 ，,于 是 离 开 邠 地 ， 越 过 梁 山 ，
去 邠 ， 逾 梁 山 ， 邑 于 岐 山 之 下 居 焉 。,于 是 离 开 邠 地 ， 越 过 梁 山 ， 在 岐 山 下 建 城 邑 定 居 下 来 。
逾 梁 山 ，,越 过 梁 山 ，
逾 梁 山 ， 邑 于 岐 山 之 下 居 焉 。,越 过 梁 山 ， 在 岐 山 下 建 城 邑 定 居 下 来 。
邑 于 岐 山 之 下 居 焉 。,在 岐 山 下 建 城 邑 定 居 下 来 。
邠 人 曰 ：,邠 地 的 人 说 ：
邠 人 曰 ： 仁 人 也 ，,邠 地 的 人 说 ： 是 个 仁 人 啊 ，
邠 人 曰 ： 仁 人 也 ， 不 可 失 也 。,邠 地 的 人 说 ： 是 个 仁 人 啊 ， 不 能 失 去 他 啊 。
仁 人 也 ，,是 个 仁 人 啊 ，
仁 人 也 ， 不 可 失 也 。,是 个 仁 人 啊 ， 不 能 失 去 他 啊 。
不 可 失 也 。,不 能 失 去 他 啊 。
从 之 者 如 归 市 。,追 随 他 迁 居 的 人 ， 多 得 像 赶 集 市 一 般 。
或 曰 ：,也 有 人 说 ：
或 曰 ： 世 守 也 ，,也 有 人 说 ： 是 必 须 世 世 代 代 守 护 的 ，
或 曰 ： 世 守 也 ， 非 身 之 所 能 为 也 。,也 有 人 说 ： 是 必 须 世 世 代 代 守 护 的 ， 不 是 能 自 作 主 张 的 ，
世 守 也 ，,是 必 须 世 世 代 代 守 护 的 ，
世 守 也 ， 非 身 之 所 能 为 也 。,是 必 须 世 世 代 代 守 护 的 ， 不 是 能 自 作 主 张 的 ，
非 身 之 所 能 为 也 。,不 是 能 自 作 主 张 的 ，
效 死 勿 去 。,拼 了 命 也 不 能 舍 弃 它 。
君 请 择 于 斯 二 者 。,请 您 在 这 两 种 办 法 中 选 择 吧 。
孟 子 曰 ：,孟 子 说 ：
孟 子 曰 ： 吾 今 而 后 知 杀 人 亲 之 重 也 ：,孟 子 说 ： 我 现 在 懂 得 了 杀 死 别 人 亲 人 的 严 重 性 了 ；
孟 子 曰 ： 吾 今 而 后 知 杀 人 亲 之 重 也 ： 杀 人 之 父 ，,孟 子 说 ： 我 现 在 懂 得 了 杀 死 别 人 亲 人 的 严 重 性 了 ； 杀 死 别 人 的 父 亲 ，
吾 今 而 后 知 杀 人 亲 之 重 也 ：,我 现 在 懂 得 了 杀 死 别 人 亲 人 的 严 重 性 了 ；
吾 今 而 后 知 杀 人 亲 之 重 也 ： 杀 人 之 父 ，,我 现 在 懂 得 了 杀 死 别 人 亲 人 的 严 重 性 了 ； 杀 死 别 人 的 父 亲 ，
吾 今 而 后 知 杀 人 亲 之 重 也 ： 杀 人 之 父 ， 人 亦 杀 其 父 ；,我 现 在 懂 得 了 杀 死 别 人 亲 人 的 严 重 性 了 ； 杀 死 别 人 的 父 亲 ， 别 人 也 会 杀 死 他 的 父 亲 ；
杀 人 之 父 ，,杀 死 别 人 的 父 亲 ，
杀 人 之 父 ， 人 亦 杀 其 父 ；,杀 死 别 人 的 父 亲 ， 别 人 也 会 杀 死 他 的 父 亲 ；
人 亦 杀 其 父 ；,别 人 也 会 杀 死 他 的 父 亲 ；
杀 人 之 兄 ，,杀 死 别 人 的 兄 长 ，
杀 人 之 兄 ， 人 亦 杀 其 兄 。,杀 死 别 人 的 兄 长 ， 别 人 也 会 杀 死 他 的 兄 长 。
人 亦 杀 其 兄 。,别 人 也 会 杀 死 他 的 兄 长 。
然 则 非 自 杀 之 也 ，,那 么 即 使 不 是 自 己 杀 死 自 己 的 亲 人 ，
然 则 非 自 杀 之 也 ， 一 闲 耳 。,那 么 即 使 不 是 自 己 杀 死 自 己 的 亲 人 ， 也 就 只 有 一 点 点 间 隙 了 。
一 闲 耳 。,也 就 只 有 一 点 点 间 隙 了 。
孟 子 曰 ：,孟 子 说 ：
孟 子 曰 ： 古 之 为 关 也 ，,孟 子 说 ： 古 代 设 置 关 卡 ，
孟 子 曰 ： 古 之 为 关 也 ， 将 以 御 暴 。,孟 子 说 ： 古 代 设 置 关 卡 ， 是 准 备 抵 抗 残 暴 的 ；
古 之 为 关 也 ，,古 代 设 置 关 卡 ，
古 之 为 关 也 ， 将 以 御 暴 。,古 代 设 置 关 卡 ， 是 准 备 抵 抗 残 暴 的 ；
将 以 御 暴 。,是 准 备 抵 抗 残 暴 的 ；
今 之 为 关 也 ，,如 今 的 关 卡 ，
今 之 为 关 也 ， 将 以 为 暴 。,如 今 的 关 卡 ， 却 是 用 来 推 行 暴 政 的 。
将 以 为 暴 。,却 是 用 来 推 行 暴 政 的 。
孟 子 曰 ：,孟 子 说 ：
孟 子 曰 ： 身 不 行 道 ，,孟 子 说 ： 自 身 不 行 为 于 自 己 的 人 生 道 路 ，
孟 子 曰 ： 身 不 行 道 ， 不 行 于 妻 子 ；,孟 子 说 ： 自 身 不 行 为 于 自 己 的 人 生 道 路 ， 也 就 不 能 行 为 于 妻 子 ；
身 不 行 道 ，,自 身 不 行 为 于 自 己 的 人 生 道 路 ，
身 不 行 道 ， 不 行 于 妻 子 ；,自 身 不 行 为 于 自 己 的 人 生 道 路 ， 也 就 不 能 行 为 于 妻 子 ；
不 行 于 妻 子 ；,也 就 不 能 行 为 于 妻 子 ；
使 人 不 以 道 ，,使 唤 别 人 不 以 正 确 的 人 生 道 路 ，
使 人 不 以 道 ， 不 能 行 于 妻 子 。,使 唤 别 人 不 以 正 确 的 人 生 道 路 ， 也 就 不 能 行 为 于 妻 子 。
不 能 行 于 妻 子 。,也 就 不 能 行 为 于 妻 子 。
孟 子 曰 ：,孟 子 说 ：
孟 子 曰 ： 周 于 利 者 ，,孟 子 说 ： 周 密 计 划 于 利 益 的 人 ，
孟 子 曰 ： 周 于 利 者 ， 凶 年 不 能 杀 ；,孟 子 说 ： 周 密 计 划 于 利 益 的 人 ， 灾 荒 之 年 不 致 衰 败 ；
周 于 利 者 ，,周 密 计 划 于 利 益 的 人 ，
周 于 利 者 ， 凶 年 不 能 杀 ；,周 密 计 划 于 利 益 的 人 ， 灾 荒 之 年 不 致 衰 败 ；
凶 年 不 能 杀 ；,灾 荒 之 年 不 致 衰 败 ；
周 于 德 者 ，,周 密 计 划 于 规 律 的 人 ，
周 于 德 者 ， 邪 世 不 能 乱 。,周 密 计 划 于 规 律 的 人 ， 邪 恶 的 世 道 不 能 够 使 他 迷 乱 。
邪 世 不 能 乱 。,邪 恶 的 世 道 不 能 够 使 他 迷 乱 。
孟 子 曰 ：,孟 子 说 ：
孟 子 曰 ： 不 信 仁 贤 ，,孟 子 说 ： 不 相 信 仁 爱 的 和 贤 能 的 人 ，
孟 子 曰 ： 不 信 仁 贤 ， 则 国 空 虚 。,孟 子 说 ： 不 相 信 仁 爱 的 和 贤 能 的 人 ， 国 家 的 人 才 就 会 空 虚 ；
不 信 仁 贤 ，,不 相 信 仁 爱 的 和 贤 能 的 人 ，
不 信 仁 贤 ， 则 国 空 虚 。,不 相 信 仁 爱 的 和 贤 能 的 人 ， 国 家 的 人 才 就 会 空 虚 ；
则 国 空 虚 。,国 家 的 人 才 就 会 空 虚 ；
无 礼 义 ，,没 有 礼 节 和 仁 义 ，
无 礼 义 ， 则 上 下 乱 。,没 有 礼 节 和 仁 义 ， 那 么 上 下 就 会 混 乱 ；
则 上 下 乱 。,那 么 上 下 就 会 混 乱 ；
无 政 事 ，,不 搞 好 政 事 ，
无 政 事 ， 则 财 用 不 足 。,不 搞 好 政 事 ， 财 用 就 会 贫 乏 。
则 财 用 不 足 。,财 用 就 会 贫 乏 。
孟 子 曰 ：,孟 子 说 ：
孟 子 曰 ： 不 仁 而 得 国 者 ，,孟 子 说 ： 不 爱 民 而 能 够 得 到 国 家 的 人 ，
孟 子 曰 ： 不 仁 而 得 国 者 ， 有 之 矣 ；,孟 子 说 ： 不 爱 民 而 能 够 得 到 国 家 的 人 ， 是 有 的 ；
不 仁 而 得 国 者 ，,不 爱 民 而 能 够 得 到 国 家 的 人 ，
不 仁 而 得 国 者 ， 有 之 矣 ；,不 爱 民 而 能 够 得 到 国 家 的 人 ， 是 有 的 ；
有 之 矣 ；,是 有 的 ；
不 仁 而 得 天 下 ，,不 爱 民 而 能 够 得 到 天 下 的 人 ，
不 仁 而 得 天 下 ， 未 之 有 也 。,不 爱 民 而 能 够 得 到 天 下 的 人 ， 是 没 有 的 。
未 之 有 也 。,是 没 有 的 。
孟 子 曰 ：,孟 子 说 ：
孟 子 曰 ： 民 为 贵 ，,孟 子 说 ： 人 民 最 为 宝 贵 ，
孟 子 曰 ： 民 为 贵 ， 社 稷 次 之 ，,孟 子 说 ： 人 民 最 为 宝 贵 ， 土 神 和 谷 神 次 要 ，
民 为 贵 ，,人 民 最 为 宝 贵 ，
民 为 贵 ， 社 稷 次 之 ，,人 民 最 为 宝 贵 ， 土 神 和 谷 神 次 要 ，
民 为 贵 ， 社 稷 次 之 ， 君 为 轻 。,人 民 最 为 宝 贵 ， 土 神 和 谷 神 次 要 ， 君 主 为 轻 。
社 稷 次 之 ，,土 神 和 谷 神 次 要 ，
社 稷 次 之 ， 君 为 轻 。,土 神 和 谷 神 次 要 ， 君 主 为 轻 。
君 为 轻 。,君 主 为 轻 。
是 故 得 乎 丘 民 而 为 天 子 ，,因 此 得 到 群 聚 的 人 民 的 承 认 者 就 可 以 成 为 天 子 ，
是 故 得 乎 丘 民 而 为 天 子 ， 得 乎 天 子 为 诸 侯 ，,因 此 得 到 群 聚 的 人 民 的 承 认 者 就 可 以 成 为 天 子 ， 得 到 天 子 承 认 的 就 可 以 成 为 诸 侯 ，
是 故 得 乎 丘 民 而 为 天 子 ， 得 乎 天 子 为 诸 侯 ， 得 乎 诸 侯 为 大 夫 。,因 此 得 到 群 聚 的 人 民 的 承 认 者 就 可 以 成 为 天 子 ， 得 到 天 子 承 认 的 就 可 以 成 为 诸 侯 ， 得 到 诸 侯 承 认 的 就 可 以 成 为 大 夫 。
得 乎 天 子 为 诸 侯 ，,得 到 天 子 承 认 的 就 可 以 成 为 诸 侯 ，
得 乎 天 子 为 诸 侯 ， 得 乎 诸 侯 为 大 夫 。,得 到 天 子 承 认 的 就 可 以 成 为 诸 侯 ， 得 到 诸 侯 承 认 的 就 可 以 成 为 大 夫 。
得 乎 诸 侯 为 大 夫 。,得 到 诸 侯 承 认 的 就 可 以 成 为 大 夫 。
诸 侯 危 社 稷 ，,诸 侯 危 害 社 稷 国 家 ，
诸 侯 危 社 稷 ， 则 变 置 。,诸 侯 危 害 社 稷 国 家 ， 就 另 外 改 立 。
则 变 置 。,就 另 外 改 立 。
牺 牲 既 成 ，,用 作 祭 祀 的 牲 畜 已 经 长 成 ，
牺 牲 既 成 ， 粢 盛 既 洁 ，,用 作 祭 祀 的 牲 畜 已 经 长 成 ， 用 作 祭 祀 的 粮 食 已 经 洁 净 ，
牺 牲 既 成 ， 粢 盛 既 洁 ， 祭 祀 以 时 ，,用 作 祭 祀 的 牲 畜 已 经 长 成 ， 用 作 祭 祀 的 粮 食 已 经 洁 净 ， 就 按 时 祭 祀 ，
粢 盛 既 洁 ，,用 作 祭 祀 的 粮 食 已 经 洁 净 ，
粢 盛 既 洁 ， 祭 祀 以 时 ，,用 作 祭 祀 的 粮 食 已 经 洁 净 ， 就 按 时 祭 祀 ，
粢 盛 既 洁 ， 祭 祀 以 时 ， 然 而 旱 干 水 溢 ，,用 作 祭 祀 的 粮 食 已 经 洁 净 ， 就 按 时 祭 祀 ， 但 仍 发 生 旱 灾 水 灾 ，
祭 祀 以 时 ，,就 按 时 祭 祀 ，
祭 祀 以 时 ， 然 而 旱 干 水 溢 ，,就 按 时 祭 祀 ， 但 仍 发 生 旱 灾 水 灾 ，
祭 祀 以 时 ， 然 而 旱 干 水 溢 ， 则 变 置 社 稷 。,就 按 时 祭 祀 ， 但 仍 发 生 旱 灾 水 灾 ， 那 么 就 另 外 改 换 土 神 和 谷 神 。
然 而 旱 干 水 溢 ，,但 仍 发 生 旱 灾 水 灾 ，
